DC_DIST,SECTOR,DISPATCH_DATE_TIME,DISPATCH_DATE,DISPATCH_TIME,HOUR,DC_KEY,LOCATION_BLOCK,UCR_GENERAL,OBJECTID,TEXT_GENERAL_CODE,POINT_X,POINT_Y,SHAPE
01,J,2006-01-25 11:59:00,2006-01-25,11:59:00,,200601003140,2300 BLOCK OREGON AVE,600,28755346,Thefts,-75.18605724,39.91874807,28702359
01,C,2006-01-25 14:15:00,2006-01-25,14:15:00,,200601003152,2200 BLOCK SIGEL ST,300,28746020,Robbery Firearm,-75.18322279,39.92912429,28693033
01,K,2006-01-25 15:15:00,2006-01-25,15:15:00,,200601003157,2300 BLOCK OREGON AV,600,28738944,Thefts,-75.18671975,39.91878647,28685957
01,A,2006-01-25 17:46:00,2006-01-25,17:46:00,,200601003170,1900 BLOCK S CHADWICK ST,600,28887823,Thefts,-75.17350308,39.92728776,28834836
01,J,2006-01-25 22:45:00,2006-01-25,22:45:00,,200601003196,2100 BLOCK S 26TH ST,400,28742043,Aggravated Assault Firearm,-75.18948356,39.92673451,28689056
01,J,2006-01-25 23:34:00,2006-01-25,23:34:00,,200601003200,2100 BLOCK S 26TH ST,400,28742044,Aggravated Assault Firearm,-75.18948356,39.92673451,28689057
01,A,2006-01-26 01:46:00,2006-01-26,01:46:00,,200601003205,2000 BLOCK S BROAD ST,600,28736992,Thefts,-75.16969795,39.9248987,28684005
01,A,2006-01-26 04:35:00,2006-01-26,04:35:00,,200601003211,1900 BLOCK S 17TH ST,500,28860284,Burglary Residential,-75.17407035,39.92734644,28807297
01,B,2006-01-26 20:39:00,2006-01-26,20:39:00,,200601003288,2000 BLOCK S 20TH ST,700,28723937,Recovered Stolen Motor Vehicle,-75.17902949,39.92683367,28670950
01,L,2006-01-26 22:39:00,2006-01-26,22:39:00,,200601003307,3800 BLOCK SHEAFF LN,600,28887824,Thefts,-75.19276082,39.90098469,28834837
01,E,2006-01-27 08:29:00,2006-01-27,08:29:00,,200601003334,1700 BLOCK W PASSYUNK AV,600,28767307,Theft from Vehicle,-75.17510866,39.92451331,28714320
01,A,2006-01-27 17:37:00,2006-01-27,17:37:00,,200601003387,2100 BLOCK S 15TH ST,400,28737646,Aggravated Assault No Firearm,-75.17143669,39.92457282,28684659
01,K,2006-01-27 19:37:00,2006-01-27,19:37:00,,200601003402,2200 BLOCK OREGON AVE,600,28755347,Thefts,-75.18555273,39.91857827,28702360
01,J,2006-01-27 19:39:00,2006-01-27,19:39:00,,200601003403,2200 BLOCK RITNER ST,600,28737660,Thefts,-75.18517338,39.92252318,28684673
01,C,2006-01-27 22:35:00,2006-01-27,22:35:00,,200601003429,2300 BLOCK MC CLELLAN ST,300,28762501,Robbery Firearm,-75.184977,39.92963854,28709514
01,F,2006-01-28 11:12:00,2006-01-28,11:12:00,,200601003489,2400 BLOCK S LAMBERT ST,700,28771041,Motor Vehicle Theft,-75.18120824,39.92199193,28718054
